2001: A Space Odyssey	Arthur C. Clarke
Poems of Friedrich Hölderlin	Friedrich Holderlin
Poems of Góngora	Luis de Góngora
Poems: Selected and New, 1950-1974	Adrienne Rich
Poetry	Quintus Lutatius Catulus
Point Counter Point	Aldous Huxley
Poor Cow	Nell Dunn
Poor Things	Alasdair Gray
Possessing the Secret of Joy	Alice Walker
Postcards	E. Annie Proulx
Practical Magic	Alice Hoffman
Preparation for the Next Life	Atticus Lish
Presumed Innocent	Scott Turow
Prufrock and Other Observations	T. S. Eliot
Pure	Andrew Miller
Purple Hibiscus	Chimamanda Ngozi Adichie
Pushcart Prize Anthology	Pushcart Prize
Pygmalion	Bernard Shaw
Quarantine	Jim Crace
Quo Vadis	Henryk Sienkiewicz
Raise High the Roof Beam, Carpenters: And, Seymour, an Introduction	J. D. Salinger
Rapture	Carol Ann Duffy
Rashomon and Seventeen Other Stories	Ryunosuke Akutagawa
Ready Player One	Ernest Cline
Rebecca	Daphne du Maurier
Red at the Bone	Jacqueline Woodson
Red Clocks	Leni Zumas
Red Dragon	Thomas Harris
Redeployment	Phil Klay
Remainder	Tom McCarthy
Remembering Babylon	David Malouf
Renascence and Other Poems	Edna St. Vincent Millay
Requiem	Anna Akhmatova
Residence on Earth	Pablo Neruda
Restless	William Boyd
Resurrection: A Novel	Leo Tolstoy
Retold African American Folktales	David Haynes
Retreat Without Song	Shahan Shahnour
Return to Oegstgeest	Jan Wolkers
Revolutionary Road	Richard Yates
Rhythms	Harry Martinson
Riddle of the Sands	Erskine Childers
Riddley Walker	Russell Hoban
Riders	Jilly Cooper
Riders of the Purple Sage	Zane Grey
Rimas	Gustavo Adolfo Bécquer
Rites of Passage	William Golding
Rituals	Cees Nooteboom
River of Fire	Qurratulain Hyder
Rivers and Mountains	John Ashbery
Rob Roy	Walter Scott
Robert Browning's Poetry	Robert Browning
Roll of Thunder, Hear My Cry	Mildred D. Taylor
Romance of the Three Kingdoms	Guanzhong Luo
Roots	Alex Haley
Rubaiyat of Omar Khayyam	Edward FitzGerald
Rubyfruit Jungle	Rita Mae Brown
Runaway	Alice Munro
Sacred Hunger	Barry Unsworth
Samuel Pepys: The Unequalled Self	Claire Tomalin
Samuels bok	Sven Delblanc
Sandokan	Emilio Salgari
Santa Evita	Tomás Eloy Martínez
Sarah, Plain and Tall	Patricia MacLachlan
Saturday	Ian McEwan
Savages: A Novel	Don Winslow
Saville	David Storey
Say You’re One of Them	Uwem Akpan
Scarlet Sister Mary	Julia Peterkin
Schatzkästlein des Rheinischen Hausfreundes	Johann Peter Hebel
Schindler's List	Thomas Keneally
Sea of Poppies	Amitav Ghosh
Searching for Caleb	Anne Tyler
Season of Migration to the North	Al-Tayyib Salih
Seaview	Toby Olson
Second Thoughts	Michel Butor
Second-class Citizen	Buchi Emecheta
Selected Poems	Pierre Ronsard
Selected Poems	Andrew Marvell
Selected Poems of Gabriela Mistral	Gabriela Mistral
Selected Poems of Lord Byron	Lord Byron
Selected Stories	D. H. Lawrence
Selected Stories of Lu Hsun	Xun Lu
Selected Stories of Philip K. Dick	Philip K. Dick
Senilità	Italo Svevo
Sent for You Yesterday	John Edgar Wideman
Seven Against Thebes	Aeschylus
Seven Gothic Tales	Karen Blixen
Seven Years	Peter Stamm
Sexual Perversity in Chicago	David Mamet
Shadow Country	Peter Matthiessen
Shadows on the Hudson: A Novel	Isaac Bashevis Singer
Shahnameh	Ferdowsi
She	H. Rider Haggard
Ship Fever and Other Stories	Andrea Barrett
Shogun	James Clavell
Siebenkäs	Jean Paul
Signs Preceding the End of the World	Yuri Herrera
Silence	Shusaku Endo
Silence de la Mer	Vercors
Silk	Alessandro Baricco
Silver City	Maurice Leitch
Simon and the Oaks	Marianne Fredriksson
Simplicius Simplicissimus	Hans Jakob Christoffel von Grimmelshausen
Sing, Unburied, Sing	Jesmyn Ward
Sir Gawain and the Green Knight	Simon Armitage
Sister Carrie	Theodore Dreiser
Sixty Stories	Donald Barthelme
Skinny Legs and All	Tom Robbins
Sleeping Beauty	Ross Macdonald
Sleeping It Off in Rapid City	August Kleinzahler
Small Island	Andrea Levy
Smell of Sadness	Alfred Kossmann
Smilla's Sense of Snow: A Novel	Peter Høeg
Smoky the Cowhorse	Will James
Snow Country	Yasunari Kawabata
Snow Crash	Neal Stephenson
Snow Falling on Cedars	David Guterson
Snow Flower and the Secret Fan	Lisa See
So Big	Edna Ferber
So Long a Letter	Mariama Bâ
So Long, See You Tomorrow	William Maxwell
Sold	Patricia McCormick
Soldiers in Hiding	Richard Wiley
Soldiers of Salamis	Javier Cercas
Solitude	Caterina Albert
Some Experiences of an Irish R. M.	Edith Somerville, Violet Florence Martin
Something to Answer For	P. H. Newby
Sometimes a Great Notion	Ken Kesey
Song of Songs	Christian Church
Sóngoro cosongo	Nicolás Guillén
Songs of Innocence and Experience	William Blake
Sonnets	Julián Olivares
Sonnets from the Portuguese	Elizabeth Barrett Browning
Sophie's World: A Novel About the History of Philosophy	Jostein Gaarder
Soul Mountain	Xingjian Gao
Southern Seas	Manuel Vázquez Montalbán
Spain, Take This Chalice from Me	César Vallejo
Spartina	John Casey
Speak	Laurie Halse Anderson
Speedboat	Renata Adler
Spies	Michael Frayn
Splendors and Miseries of Courtesans	Honore De Balzac
Spoon River Anthology	Edgar Lee Masters
Spreadeagle	Kevin Killian
Station Eleven	Emily St John Mandel
Staying Alive	Neil Astley
Staying On	Paul Scott
Stockholm series	Per Anders Fogelström
Stone Junction: An Alchemical Pot-Boiler	Jim Dodge
Stoner	John Williams
Stories	T. C. Boyle
Stories	Heinrich von Kleist
Stories from the Lord Keuner	Dieter Wöhrle
Stories of Adalbert Stifter	Adalbert Stifter
Stories of Nikolai Gogol	Nikolai Gogol
Stories of Washington Irving	Washington Irving
Stories of Your Life and Others	Ted Chiang
Stormbreaker	Anthony Horowitz
Story of Ferdinand	Munro Leaf
Story of O	Pauline Reage
Strait is the Gate	André Gide
Strange Fruit	Lillian Smith
Stranger Things Happen	Kelly Link
Strumpet City	James Plunkett
Struwwelpeter, Or, Merry Rhymes and Funny Pictures...	Heinrich Hoffmann
Studs Lonigan	James T. Farrell
Success: Three Years in the Life of a Province	Lion Feuchtwanger
Sudden Death	Alvaro Enrigue
Sudelbücher	Georg Christoph Lichtenberg
Suite Française	Irène Némirovsky
Summer in Baden-Baden	Leonid Tsypkin
Super Sad True Love Story	Gary Shteyngart
Swallows and Amazons	Arthur Ransome
Swamplandia!	Karen Russell
Swan Song	Robert R. McCammon
Sweet Days of Discipline	Fleur Jaeggy
Swing Hammer Swing!	Jeff Torrington
Swing Time	Zadie Smith
Sybil: Or The Two Nations	Benjamin Disraeli
Taebaek Sanmaek	Jo Jung-rae
Taipei	Tao Lin
Tales from the Kathasaritsagara	Somadeva
Tales of H. P. Lovecraft	H. P. Lovecraft
Tales of the City	Armistead Maupin
Talk Before Sleep	Elizabeth Berg
Tarka the Otter	Henry Williamson
Teahouse	Lao She
Tell Me a Riddle	Tillie Olsen
Ten North Frederick	John O'Hara
Tender Buttons	Gertrude Stein
Thank You and Other Poems	Kenneth Koch
That They May Face the Rising Sun	John McGahern
The 120 Days of Sodom	Marquis de Sade
The 13 Clocks	James Thurber
The Able McLaughlins	Margaret Wilson
The Abyss	Marguerite Yourcenar
The Accidental	Ali Smith
The Adventures and Misadventures of Maqroll	Alvaro Mutis
The Adventures of Caleb Williams	William Godwin
The Adventures of Peregrine Pickle	Tobias Smollett
The Aeneid	Virgil
The African Child	Camara Laye
The Age of Anxiety	W. H. Auden
The Age of Wire and String	Ben Marcus
The Alberta Trilogy	Cora Sandel
The Alienist	Caleb Carr
The Animals' Conference	Erich Kästner
The Apes of God	Wyndham Lewis
The Arrival	Shaun Tan
The Art of Fielding	Chad Harbach
The Awakening	Kate Chopin
The Back Room	Carmen Martín Gaite
The Bald Soprano	Eugène Ionesco
The Ballad of Peckham Rye	Muriel Spark
The Ballad of the Sad Cafe	Carson McCullers
The Barracks Thief	Tobias Wolff
The Bastard of Istanbul	Elif Shafak
The Bear Comes Home	Rafi Zabor
The Beautiful Mrs. Seidenman	Andrzej Szczypiorski
The Beauty Of The Husband	Anne Carson
The Beautyful Ones are Not Yet Born	Ayi K. Armah
The Beginning of Spring	Penelope Fitzgerald
The Bell Jar	Sylvia Plath
The Betrothed	Alessandro Manzoni
The Bird of Night	Susan Hill
The Birds	Tarjei Vesaas
The Bitter Glass	Eilís Dillon
The Black Book	Orhan Pamuk
The Black Swan	Thomas Mann
The Blazing World	Siri Hustvedt
The Blind Side of the Heart	Julia Franck
The Blithedale Romance	Nathaniel Hawthorne
The Blue Lotus	Hergé
The Blue Sword	Robin McKinley
The Bluest Eye	Toni Morrison
The Bone People	Keri Hulme
The Bonesetter's Daughter	Amy Tan
The Book of Salt	Monique Truong
The Book of Strange New Things	Michel Faber
The Book of the City of Ladies	Christine De Pizan
The Book Thief	Markus Zusak
The Book-Dealer Who Ceased Bathing	Fritiof Nilsson Piraten
The Box Man	Kobo Abé
The Boy in the Striped Pyjamas	John Boyne
The Bridge	Hart Crane
The Bronc People	William Eastlake
The Buddha in the Attic	Julie Otsuka
The Buddha of Suburbia	Hanif Kureishi
The Burden of Our Time	Hannah Arendt
The Burn: A Novel in Three Books : (late Sixties--early Seventies)	Vassily Aksyonov
The Burning Plain and Other Stories	Juan Rulfo
The Butcher Boy	Patrick McCabe
The Caine Mutiny	Herman Wouk
The Canterbury Tales	Geoffrey Chaucer
The Caprices	Sabina Murray
The Carhullan Army	Sarah Hall
The Case of Comrade Tulayev	Victor Serge
The Case of Sergeant Grischa	Arnold Zweig
The Case Worker	György Konrád
The Castle of Otranto: A Gothic Story	Horace Walpole
The Cathedral	Oles Honchar
The Chaneysville Incident	David Bradley
The Changeling	Joy Williams
The Charterhouse of Parma	Stendhal
The Charwoman's Daughter	James Stephens
The Children of Men	P. D. James
The Children's Book	A. S. Byatt
The Chip Chip Gatherers	Shiva Naipaul
The Christmas Oratorio	Göran Tunström
The Chronicles of Barsetshire	Anthony Trollope
The Chymical Wedding	Lindsay Clarke
The Cider House Rules	John Irving
The Clan of the Cave Bear	Jean M. Auel
The Clay Machine-gun	Viktor Pelevin
The Cloister and the Hearth	Charles Reade
The Clouds	Aristophanes
The Clown	Heinrich Böll
The Club Dumas	Arturo Pérez-Reverte
The Coldest Winter Ever	Sister Souljah
The Collected Poems of A. E. Housman	A. E. Housman
The Collected Poems of Audre Lorde	Audre Lorde
The Collected Poems of Langston Hughes	Langston Hughes
The Collected Poems of Theodore Roethke	Theodore Roethke
The Collected Poems of William Carlos Williams: 1909-1939	William Carlos Williams
The Collected Short Stories of Maxim Gorky	Maxim Gorky
The Collected Songs of Cold Mountain	Han Shan
The Collected Stories	Grace Paley
The Collected Stories of Amy Hempel	Amy Hempel
The Collected Stories of Deborah Eisenberg: Stories	Deborah Eisenberg
The Collected Stories of Isaac Babel	Isaac Babel
The Collected Stories of Jean Stafford	Jean Stafford
The Collected Works	Kahlil Gibran
The Collected Works of Paul Valéry	Paul Valéry
The Collected Works of St. John of the Cross	St. John of the Cross
The Comforts of Madness	Paul Sayer
The Commandant	Jessica Anderson
The Commitments	Roddy Doyle
The Complete Fairy Tales of Charles Perrault	Charles Perrault
The Complete Poems	Philip Larkin
The Complete Poems of Marianne Moore	Marianne Moore
The Complete Poems of Samuel Taylor Coleridge	Samuel Coleridge
The Complete Poetry and Essential Prose of John Milton	John Milton
The Complete Poetry and Selected Prose of John Donne	John Donne
The Complete Short Stories of Jack London	Jack London
The Complete Stories	Zora Neale Hurston
The Complete Works of Nathanael West	Nathanael West
The Complete Writings of Alfred de Musset	Alfred de Musset
The Confessions of Nat Turner	William Styron
The Confusions of Young Törless	Robert Musil
The Conservationist	Nadine Gordimer
The Continental Op	Dashiell Hammett
The Country of the Pointed Firs	Sarah Orne Jewett
The Coup	John Updike
The Crow Road	Iain Banks
The Cunning Man	Robertson Davies
The Curious Incident of the Dog in the Night-time	Mark Haddon
The Custom of the Country	Edith Wharton
The Czar's Madman	Jaan Kross
The Da Vinci Code	Dan Brown
The Damned Utd	David Peace
The Daughter	Pavlos Matesis
The Daughter of Time	Josephine Tey
The Day of the Dolphin	Robert Merle
The Day of the Jackal	Frederick Forsyth
The Days of His Grace	Eyvind Johnson
The deadbeats: a novel	Ward Ruyslinck
The Deceivers	John Masters
The Destiny Waltz	Gerda Charles
The Destroyers	Christopher Bollen
The Devil and Miss Prym	Paulo Coelho
The Devil to Pay in the Backlands	Joao Guimaraes Rosa
The Devil's Pool	George Sand
The Dharma Bums	Jack Kerouac
The Diary of a Country Priest	Georges Bernanos
The Diary of a Nobody	George Grossmith, Weedon Grossmith
The Diary of Anais Nin, 1931-1934	Anaïs Nin
The Discovery of Heaven	Harry Mulisch
The Divine Comedy	Dante Alighieri
The Diviners	Margaret Laurence
The Dog Star	Agneta Pleijel
The Dogs of March	Ernest Hebert
The Dwarf	Par Lagerkvist
The Dying Earth	Jack Vance
The Dyskolos	Menander
The Edge of Sadness	Edwin O'Connor
The Education of Little Tree	Forrest Carter
The Eighth Day	Thornton Wilder
The Elected Member	Bernice Rubens
The Elegance of the Hedgehog	Muriel Barbery
The Emigrants	Winfried Georg Sebald
The Emigrants	Vilhelm Moberg
The Emperor's Babe	Bernardine Evaristo
The Emperor's Children	Claire Messud
The Enchanted Wanderer	Nikolai Leskov
The Enchanted Wood	Enid Blyton
The Enchantress of Florence	Salman Rushdie
The End of the Story	Lydia Davis
The Engineer of Human Souls	Josef Škvorecký
The Enormous Room	E. E. Cummings
The Epicure's Lament	Kate Christensen
The Essential Dykes to Watch Out For	Alison Bechdel
The Eye in the Door	Pat Barker
The Faerie Queene	Edmund Spenser
The Far Pavilions	M. M. Kaye
The Female Quixote	Charlotte Lennox
The Fifth Season	N. K. Jemisin
The Figaro Trilogy: The Barber of Seville, The Marriage of Figaro, The Guilty Mother	Pierre-Augustin Caron de Beaumarchais
The Finkler Question: A Novel	Howard Jacobson
The First Garden	Anne Hébert
The First Man	Albert Camus
The Flamethrowers: A Novel	Rachel Kushner
The Flowers of Evil	Charles Baudelaire
The Forbidden Kingdom	Jan Jacob Slauerhoff
The Fortunes Of Richard Mahony	Henry Handel Richardson
The Fountainhead	Ayn Rand
The Franchiser	Stanley Elkin
The Gambler	Fyodor Dostoyevsky
The Garden of the Finzi-Continis	Giorgio Bassani
The Garden Where the Brass Band Played	Simon Vestdijk
The Garlic Ballads: A Novel	Yan Mo
The General of the Dead Army	Ismail Kadare
The German Lesson	Siegfried Lenz
The Ghost	Robert Harris
The Ginger Man	J. P. Donleavy
The Girl with the Dragon Tattoo	Stieg Larsson
The Giver	Lois Lowry
The Glass Bees	Ernst Jünger
The God of Small Things	Arundhati Roy
The Godfather	Mario Puzo
The Golden Apples	Eudora Welty
The Golden Ass (Metamorphoses): Or Metamorphoses	Apuleius
The Golden Compass	Philip Pullman
The Golden Gate	Vikram Seth
The Goldfinch	Donna Tartt
The Good Earth	Pearl S. Buck
The Good Lord Bird: A Novel	James McBride
The Good Soldier Svejk	Jaroslav Hašek
The Graduate	Charles Webb
The Great Fire	Shirley Hazzard
The Great Indian Novel	Shashi Tharoor
The Green Hat	Michael Arlen
The Green Road	Anne Enright
The Gruffalo	Julia Donaldson
The Guiltless	Hermann Broch
The Hair of Harold Roux	Thomas Williams
The Half Brother: A Novel	Lars Saabye Christensen
The Hand That First Held Mine	Maggie O'Farrell
The Hardy Boys	Franklin W. Dixon
The Harvesters	Cesare Pavese
The Hate U Give	Angie Thomas
The Haunting of Hill House	Shirley Jackson
The Hearts and Lives of Men: A Novel	Fay Weldon
The Heather Blazing	Colm Toibin
The Help	Kathryn Stockett
The Heretic	Miguel Delibes
The History of Love	Nicole Krauss
The History of Mr. Polly	H. G. Wells
The History of Rasselas, Prince of Abissinia	Samuel Johnson, Abraham Raimbach, Robert Smirke
The Hive	Camilo José Cela
The Hobbit	J. R. R. Tolkien
The Horse Whisperer	Nicholas Evans
The Horseman on the Roof	Jean Giono
The Horse's Mouth	Joyce Cary
The House at Pooh Corner	A. A Milne
The House Of Splendid Isolation	Edna O'Brien
The House of Ulloa	Emilia Pardo Bazán
The House on Mango Street	Sandra Cisneros
The Hunger Games	Suzanne Collins
The Hunt for Red October	Tom Clancy
The Hunting Gun	Yasushi Inoue
The Hunting of the Snark: An Agony, in Eight Fits	Lewis Carroll
The Ice Storm: A Novel	Rick Moody
The Iceman Cometh	Eugene O'Neill
The Iliad	Homer
The Illustrious House of Ramires	Eça de Queirós
The Importance of Being Earnest	Oscar Wilde
The Incendiaries	R. O. Kwon
The Indian Lawyer	James Welch
The Infatuations	Javier Marías
The Inheritance of Loss	Kiran Desai
The Interior Castle	Teresa of Avila
The Interrogation	J. M. G. Le Clezio
The Invented Part	Rodrigo Fresán
The Invention of Curried Sausage	Uwe Timm
The Island Within	Ludwig Lewisohn
The Jade Cabinet	Rikki Ducornet
The Joke	Milan Kundera
The Kalevala	Elias Lönnrot
The Keepers of the House	Shirley Ann Grau
The Killer Angels	Michael Shaara
The Killer Inside Me	Jim Thompson
The Kindly One	Jonathan Littell
The King Must Die	Mary Renault
The Kingdom of This World	Alejo Carpentier
The Known World	Edward P. Jones
The Labyrinth of Solitude	Octavio Paz
The Lady with the Dog	Anton Chekhov
The Largesse of the Sea Maiden: Stories	Denis Johnson
The Last Days of Mankind	Karl Kraus
The Last Gentleman	Walker Percy
The Last Good Kiss	James Crumley
The Last Samurai	Helen DeWitt
The Last Temptation of Christ	Nikos Kazantzakis
The Last World	Christoph Ransmayr
The Late George Apley	John P. Marquand
The Late-night News	Petros Markaris
The Laws	Connie Palmen
The Lazarus Project	Aleksandar Hemon
The Leavers	Lisa Ko
The Leopard	Giuseppe Tomasi di Lampedusa
The Lesser Bohemians	Eimear McBride
The Life and Opinions of the Tomcat Murr	E. T. A. Hoffmann
The Life of Insects	Victor Pelevin
The Lime Twig	John Hawkes
The Lion and the Mouse	Jerry Pinkney
The Lion of Flanders	Hendrik Conscience
The Little Engine that Could	Platt & Munk
The Little Grey Men	B B
The Little Prince	Antoine de Saint-Exupéry
The Little Stranger	Sarah Waters
The Living and the Dead	Patrick White
The Loneliness of the Long-distance Runner	Alan Sillitoe
The Lonely Londoners	Sam Selvon
The Long Ships	Frans G. Bengtsson
The Loser	Thomas Bernhard
The Lost Language of Cranes	David Leavitt
The Lost Leader	Mick Imlah
The Lovely Bones	Alice Sebold
The Loyal Subject	Heinrich Mann
The Luminaries	Eleanor Catton
The Lusiad	Luís Vaz Camões
The Magic Toyshop	Angela Carter
The Magician's Nephew	C. S. Lewis, Clive Staples Lewis
The Magus	John Fowles
The Makioka Sisters	Junichiro Tanizaki
The Mambo Kings Play Songs of Love	Oscar Hijuelos
The Man of Feeling	Henry Mackenzie
The Man Who Loved Children	Christina Stead
The Man Who Was Thursday	G. K. Chesterton
The Man with the Golden Arm	Nelson Algren
The Man Without a Way	Erik Lindegren
The Mandarins	Simone de Beauvoir
The Manila Rope	Veijo Meri
The Manuscript Found in Saragossa	Jan Potocki
The Marriage Of Cadmus And Harmony	Roberto Calasso
The Martian	Andy Weir
The Martian Chronicles	Ray Bradbury
The Mask of Dimitrios	Eric Ambler
The Master and Margarita	Mikhail Bulgakov
The Master of Ballantrae: A Winter's Tale	Robert Louis Stevenson
The Melancholy of Resistance	László Krasznahorkai
The Memoirs of a Survivor	Doris May Lessing
The Merchant of Venice	William Shakespeare
The Merry Adventures of Robin Hood	Howard Pyle
The Middleman and Other Stories	Bharati Mukherjee
The Midnight Examiner	William Kotzwinkle
The Midwich Cuckoos	John Wyndham
The Mind Invaders	Dave Hunt
The Mists of Avalon	Marion Zimmer Bradley
The Monk	Matthew Lewis
The Monkey Wrench Gang	Edward Abbey
The Moon is a Harsh Mistress	Robert A. Heinlein
The Moonstone	Wilkie Collins
The Mysteries of Udolpho	Ann Radcliffe
The Mysterious Affair at Styles	Agatha Christie
The Narrative of Arthur Gordon Pym	Edgar Allan Poe
The Natural	Bernard Malamud
The Needle's Eye	Fanny Howe
The Negro Caravan: Writings	American Negroes
The News from Paraguay	Lily Tuck
The Nickel Boys	Colson Whitehead
The Night Circus	Erin Morgenstern
The Night Manager	John le Carré
The No. 1 Ladies' Detective Agency	Alexander McCall Smith
The Notebook	Nicholas Sparks
The Notebook: The Proof ; The Third Lie : Three Novels	Agota Kristof
The Notebooks of Malte Laurids Brigge	Rainer Maria Rilke
The Nun	Denis Diderot
The Ocean at the End of the Lane	Neil Gaiman
The Odes	Horace
The Old Devils	Kingsley Amis
The Old Jest	Jennifer Johnston
The Old Wives' Tale	Arnold Bennett
The Once and Future King	T. H. White
The Opposing Shore	Julien Gracq
The Oranging of America	Max Apple
The Orlando Furioso	Lodovico Ariosto
The Outsiders	S. E. Hinton
The Overstory	Richard Powers
The Painted Bird	Jerzy Kosinski
The Palm-Wine Drinkard	Amos Tutola
The Parable of the Blind	Gert Hofmann
The Particular Sadness of Lemon Cake	Aimee Bender
The Passion According to G.H.	Clarice Lispector
The Pearl	John Steinbeck
The Periodic Table	Primo Levi
The Phantom of the Opera	Gaston Leroux
The Phantom Tollbooth	Norton Juster
The Physician	Noah Gordon
The Physicists	Friedrich Dürrenmatt
The Piano Teacher	Elfriede Jelinek
The Pigeon	Patrick Suskind
The Pioneers	James Fenimore Cooper
The Plantagenet Saga	Jean Plaidy
The Poems of Emily Bronte	Emily Brontë
The Poems of Francois Villon	François Villon
The Poems of Percy Bysshe Shelley	Percy Bysshe Shelley
The Poems of Robert Frost	Robert Frost
The Poems of Sappho	Sappho
The Poems of Walt Whitman	Walt Whitman
The Poems of Wilfred Owen	Wilfred Owen
The Poetry of Alexander Pushkin	Alexander Pushkin
The Poetry of Derek Walcott 1948-2013	Derek Walcott
The Poetry of Ezra Pound	Ezra Pound
The Poetry of Luis Cernuda	Luis Cernuda
The Poppy War	R. F. Kuang
The Position	Meg Wolitzer
The Possessed	Elif Batuman
The Postman Always Rings Twice	James M. Cain
The Power of One	Bryce Courtenay
The PowerBook	Jeanette Winterson
The Prelude	William Wordsworth
The Prince and the Pauper: A Tale for Young People of All Ages	Mark Twain
The Prince of Tides	Pat Conroy
The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure	William Goldman
The Princess of Cleves	Madame de La Fayette
The Private Memoirs and Confessions of a Justified Sinner	James Hogg
The Professional	W. C. Heinz
The Pure and the Impure	Colette
The Pursuit Of Love	Nancy Mitford
The Queen of the Tambourine	Jane Gardam
The Queen's Tiara	Carl Jonas Love Almquist
The Quest	Frederik van Eeden
The Radetzky March	Joseph Roth
The Radiant Way	Margaret Drabble
The Ragged Trousered Philanthropists	Robert Tressell, Peter Miles
The Railway Children	Edith Nesbit
The Rape of the Lock	Alexander Pope
The Razor's Edge	W. Somerset Maugham
The Reader	Bernhard Schlink
The Remorseful Day	Colin Dexter
The Resistible Rise of Arturo Ui	Bertolt Brecht
The Return and Other Stories	Andrey Platonov
The Return of Philip Latinowicz	Miroslav Krleža
The Return of the Soldier	Rebecca West
The Richard Trilogy	Paul Horgan
The Rime of the Ancient Mariner	Samuel Taylor Coleridge
The Rings of Saturn	W. G. Sebald
The Roots of Heaven	Romain Gary
The Rosy Crucifixion	Henry Miller
The Royal Physician's Visit: A Novel	Per Olov Enquist
The Ruins	Scott Smith
The Sacred and Profane Love Machine	Iris Murdoch
The Satin Slipper	Paul Claudel
The Sea	John Banville
The Secret Diary of Adrian Mole Aged 13 3/4	Sue Townsend
The Secret Scripture	Sebastian Barry
The Sellout	Paul Beatty
The Seventh Cross	Anna Seghers
The Shack	William P Young
The Shadow of the Wind	Carlos Ruiz Zafon
The Shawl	Cynthia Ozick
The Shell Seekers	Rosamunde Pilcher
The Sheltering Sky	Paul Bowles
The Shipyard	Juan Carlos Onetti
The Short Stories Of Thomas Hardy	Thomas Hardy
The Siege	Helen Dunmore
The Sign of Four	Arthur Conan Doyle
The Singapore Grip	J. G. Farrell
The Sirens of Titan	Kurt Vonnegut
The Skeleton	Amrita Pritam
The Sluts	Dennis Cooper
The Snowy Day	Ezra Jack Keats
The Soft Machine	William S. Burroughs
The Song of Hiawatha	Henry Wadsworth Longfellow
The Sorrow of Belgium	Hugo Claus
The Sorrow Of War	Bao Ninh
The Soul of Kindness	Elizabeth Taylor
The Spectator Bird	Wallace Stegner
The Spirit Level	Seamus Heaney
The Spoils of Poynton	Henry James
The Sportswriter	Richard Ford
The Statement	Brian Moore
The Stone Raft	José Saramago
The Store	Thomas Sigismund Stribling
The Stories of Vladimir Nabokov	Vladimir Nabokov
The Story Of Edgar Sawtelle	David Wroblewski
The Story of Tracy Beaker	Jacqueline Wilson
The Storyteller	Mario Vargas Llosa
The Strange Case of Peter the Lett	Georges Simenon
The Street of Crocodiles	Bruno Schulz
The Summer Book	Tove Jansson
The Swarm	Frank Schatzing
The Swimming-Pool Library	Alan Hollinghurst
The Sword of the Lictor	Gene Wolfe
The Sympathizer	Viet Thanh Nguyen
The Tale of Genji	Murasaki Shikibu
The Tale of Peter Rabbit	Beatrix Potter
The Talented Mr. Ripley	Patricia Highsmith
The Tartar Steppe	Dino Buzzati
The Tenant of Wildfell Hall	Anne Brontë
The Tenderness of Wolves	Stef Penney
The Terror	Dan Simmons
The Third Policeman	Flann O'Brien
The Thorn Birds	Colleen McCullough
The Three Hundred Tang Poems	China
The Three Musketeers	Alexandre Dumas
The Tiger Who Came to Tea	Judith Kerr
The Time Traveler's Wife	Audrey Niffenegger
The Times Are Never So Bad: A Novella and Eight Short Stories	Andre Dubus
The Tin Flute	Gabrielle Roy
The Tootinameh; Or, Tales of a Parrot	India, Iran
The Tragical History of Doctor Faustus	Christopher Marlowe
The Travels of Jaimie McPheeters	Robert Lewis Taylor
The Travels of Persiles and Sigismunda	Miguel de Cervantes
The Trick Is to Keep Breathing	Janice Galloway
The Trickster of Seville and His Guest of Stone	Tirso de Molina
The Triple Mirror of the Self	Zulfikar Ghose
The Twelve Lives of Samuel Hawley	Hannah Tinti
The Twilight Years	Sawako Ariyoshi
The Twins	Tessa De Loo
The Underdogs	Mariano Azuela
The Unfortunate Traveller	Thomas Nashe
The Universal Baseball Association	Robert Coover
The Unknown Soldier	Väinö Linna
The Vegetarian: A Novel	Han Kang
The Very Hungry Caterpillar	Eric Carle
The Vicar of Wakefield	Oliver Goldsmith
The Vice-Consul	Marguerite Duras
The Viceroys	Federico De Roberto
The Virgin Suicides	Jeffrey Eugenides
The Voyage of the Dawn Treader: The Chronicles of Narnia	C. S. Lewis
The Voyage Out	Virginia Woolf
The Voyages of Doctor Dolittle	Hugh Lofting
The Voyeur	Alain Robbe-Grillet
The Wanderer	Henri Alain-Fournier
The Warlord of Mars	Edgar Rice Burroughs
The Wars	Timothy Findley
The Water Dancer	Ta-Nehisi Coates
The Water Margin: Outlaws of the Marsh	Shi Naian
The Water-Babies, A Fairy Tale for a Land Baby	Charles Kingsley
The Waters of Kronos	Conrad Richter
The Way of Kings	Brandon Sanderson
The Way West	A. B. Guthrie, Jr
The Well of Loneliness	Radclyffe Hall
The Werewolf	Aksel Sandemose
The Wheel of Time Series	Robert Jordan
The White Hotel	D. M. Thomas
The White Tiger	Aravind Adiga
The Wife of Martin Guerre	Janet Lewis
The Wild Swans at Coole	William Butler Yeats
The Wind in the Willows	Kenneth Grahame
The Wind on the Moon	Eric Linklater
The Wine of Astonishment	Earl Lovelace
The Wise Man's Fear	Patrick Rothfuss
The Witness	Juan José Saer
The Woman in the Dunes	Kobo Abe
The Women's Room	Marilyn French
The Wonderful Adventures of Nils	Selma Lagerlöf
The Wonderful Wizard of Oz	L. Frank Baum
The Works of George Peele	George Peele
The Works of Walter Savage Landor	Walter Savage Landor
The Worst Witch	Jill Murphy
